index,Bacilli,Actinobacteria,Clostridia,Verrucomicrobiae,Bacteroidia,Coriobacteriia,Gammaproteobacteria,Alphaproteobacteria,Bacteria;__,Desulfitobacteriia,Unassigned;__,Cyanobacteriia,Negativicutes,Gemmatimonadetes,Eukaryota;__,Acidobacteriae,p__Actinobacteriota;__,Fusobacteriia,p__Firmicutes;__,Anaerolineae,Limnochordia,Elusimicrobia,Planctomycetes
zr12622_10V3V4,53090,36248,32373,4207,10053,4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_11V3V4,86074,31669,13954,3094,530,2955,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_12V3V4,81525,27263,8293,3496,470,2482,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
zr12622_13V3V4,96592,26097,5552,3774,3732,3675,0,0,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_14V3V4,79625,26094,7727,2381,338,2714,0,20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
zr12622_15V3V4,79713,24222,10504,2876,780,3180,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_16V3V4,48709,8529,37839,13268,8920,2511,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_17V3V4,47469,8766,16239,21996,3953,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
zr12622_18V3V4,81656,28793,8371,4513,2340,4092,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_19V3V4,54265,10628,45461,7155,2096,3157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_1V3V4,116245,1368,4360,1670,658,0,0,413,58,105,333,56,339,0,0,0,0,0,0,0,0,0,0
zr12622_20V3V4,43806,6996,37695,11025,6196,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zr12622_21V3V4,53491,48091,9809,788,2101,2053,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
